"","Country","1978","1982","1983","1985","1986","1988","1990","1994","1996","1997","1998","2000","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"23","Philippines",NA,0.412958992359691,NA,NA,NA,NA,NA,NA,NA,0.8,0.565979381443299,NA,1,0.6,NA,0.6,0.403227518161168,0.600750173411425,0.856102534485053,NA,NA,0.85,NA,0.566858657764881,0.900599074463433,NA,NA,NA,0.675472378340433
"24","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.62,NA,NA,NA,NA,0.6,1,0.885017882478992,NA,NA,0.757449984439967,0.8,0.8,NA,0.98113689821284,NA,NA,NA,0.736926367620146
"25","Bhutan",NA,0.400374753667586,NA,0.8,NA,NA,NA,NA,NA,NA,0.685714285714286,NA,0.685337491601461,NA,0.698189962306475,NA,NA,0.919556197150518,NA,NA,0.700006524528217,0.4,NA,0.799998882851686,0.995306029231045,0.707623981920176,NA,0.9,0.733333333333333
"26","Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.540298507462687,NA,0.733333333333333,0.6,0.6,0.6,NA,1,NA,NA,NA,0.7,NA,NA,0.65,NA,NA,NA,0.685714285714286
"27","Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.625925925925926,NA,0.700457576306654,0.6,NA,0.6,0.6,0.999999992452565,NA,0.2,NA,NA,NA,0.799842246600894,0.850188802652081,0.723735634641766,0.836366604207721,NA,0.8000602705742
"28","Timor-Leste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.866666666666667,NA,NA,NA,NA,NA,NA
"29","Singapore",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.733333333333333,0.65631067961165,NA,0.8,0.6,NA,NA,0.6,1,NA,NA,NA,0.666666666666667,NA,NA,0.866617170695787,NA,0.933383515657753,NA,0.628586557262627
"30","Sri Lanka",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.527228915662651,NA,0.733633317117381,NA,NA,NA,0.6,0.8,NA,NA,NA,0.85,NA,0.6,0.990402427442703,NA,NA,NA,0.800109743608669
"31","Thailand",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,0.579130434782609,NA,0.650164604397058,0.6,NA,0.6,0.6,0.999431636162213,NA,NA,NA,NA,NA,0.799298050884524,0.783063453046367,NA,0.850927047811198,NA,0.733651977256504
"32","Nepal",0.4,0.485418068989238,0.6,0.8,0.515346968726075,0.492756266647118,NA,NA,NA,NA,0.584615384615385,0.641284818576652,0.666765967715978,0.668202335345409,0.894447074206757,NA,0.8,NA,NA,NA,0.718326727124295,0.4,NA,0.778768826516404,0.983568447256525,0.687050385317704,NA,0.857143073627565,1
"33","Lao People's Democratic Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.615625,NA,NA,0.533333333333333,NA,NA,0.3,0.8,NA,0.2,0.566666666666667,NA,NA,0.68,NA,NA,NA,NA,0.72
