"","year","code","category","Species","Class","Region","count","code_mod","risk"
"40435","1998","EN","Endangered","Pithecellobium johansenii","MAGNOLIOPSIDA","global",1,"EN",3
"40436","1998","EN","Endangered","Pithecellobium stevensonii","MAGNOLIOPSIDA","global",1,"EN",3
"40437","1998","CR","Critically Endangered","Quararibea yunckeri","MAGNOLIOPSIDA","global",1,"CR",4
"40438","1998","EN","Endangered","Quiina schippii","MAGNOLIOPSIDA","global",1,"EN",3
"40439","1998","CR","Critically Endangered","Sloanea shankii","MAGNOLIOPSIDA","global",1,"CR",4
"40440","1998","CR","Critically Endangered","Terua vallicola","MAGNOLIOPSIDA","global",1,"CR",4
"40441","1998","VU","Vulnerable","Ticodendron incognitum","MAGNOLIOPSIDA","global",1,"VU",2
"40442","1998","CR","Critically Endangered","Viburnum hondurense","MAGNOLIOPSIDA","global",1,"CR",4
"40443","1998","EN","Endangered","Vitex cooperi","MAGNOLIOPSIDA","global",1,"EN",3
"40444","1998","EN","Endangered","Vitex kuylenii","MAGNOLIOPSIDA","global",1,"EN",3
"40445","1998","CR","Critically Endangered","Vochysia aurifera","MAGNOLIOPSIDA","global",1,"CR",4
"40446","1998","EN","Endangered","Xolocotzia asperifolia","MAGNOLIOPSIDA","global",1,"EN",3
"40447","1998","EN","Endangered","Zanthoxylum belizense","MAGNOLIOPSIDA","global",1,"EN",3
"40448","1998","EN","Endangered","Zanthoxylum panamense","MAGNOLIOPSIDA","global",1,"EN",3
"40449","1998","EN","Endangered","Zanthoxylum procerum","MAGNOLIOPSIDA","global",1,"EN",3
"40450","1998","EN","Endangered","Tetrorchidium brevifolium","MAGNOLIOPSIDA","global",1,"EN",3
"40451","1998","V","Vulnerable","Leucaena cuspidata","MAGNOLIOPSIDA","global",2,"VU",2
"40452","1998","VU","Vulnerable","Leucaena cuspidata","MAGNOLIOPSIDA","global",2,"VU",2
"40453","1998","V","Vulnerable","Leucaena greggii","MAGNOLIOPSIDA","global",2,"VU",2
"40454","1998","VU","Vulnerable","Leucaena greggii","MAGNOLIOPSIDA","global",2,"VU",2
"40455","1998","E","Endangered","Leucaena involucrata","MAGNOLIOPSIDA","global",2,"EN",3
"40456","1998","EN","Endangered","Leucaena involucrata","MAGNOLIOPSIDA","global",2,"EN",3
"40457","1998","V","Vulnerable","Leucaena lempirana","MAGNOLIOPSIDA","global",2,"VU",2
"40458","1998","VU","Vulnerable","Leucaena lempirana","MAGNOLIOPSIDA","global",2,"VU",2
"40459","1998","E","Endangered","Leucaena magnifica","MAGNOLIOPSIDA","global",2,"EN",3
"40460","1998","EN","Endangered","Leucaena magnifica","MAGNOLIOPSIDA","global",2,"EN",3
"40461","1998","E","Endangered","Leucaena matudae","MAGNOLIOPSIDA","global",2,"EN",3
"40462","1998","EN","Endangered","Leucaena matudae","MAGNOLIOPSIDA","global",2,"EN",3
"40463","1998","V","Vulnerable","Leucaena pueblana","MAGNOLIOPSIDA","global",2,"VU",2
"40464","1998","VU","Vulnerable","Leucaena pueblana","MAGNOLIOPSIDA","global",2,"VU",2
"40465","1998","LR/cd","Lower Risk/conservation dependent","Leucaena salvadorensis","MAGNOLIOPSIDA","global",2,"LC",0
"40466","1998","nt","Not Threatened","Leucaena salvadorensis","MAGNOLIOPSIDA","global",2,"NT",1
"40467","2018","CR","Critically Endangered","Nothofagus womersleyi","MAGNOLIOPSIDA","global",3,"CR",4
"40468","1998","EN","Endangered","Nothofagus womersleyi","MAGNOLIOPSIDA","global",3,"EN",3
"40469","1998","I","Indeterminate","Nothofagus womersleyi","MAGNOLIOPSIDA","global",3,"NA",0
"40470","2018","CR","Critically Endangered","Nothofagus nuda","MAGNOLIOPSIDA","global",3,"CR",4
"40471","1998","CR","Critically Endangered","Nothofagus nuda","MAGNOLIOPSIDA","global",3,"CR",4
"40472","1998","I","Indeterminate","Nothofagus nuda","MAGNOLIOPSIDA","global",3,"NA",0
"40473","1998","VU","Vulnerable","Tapirira chimalapana","MAGNOLIOPSIDA","global",1,"VU",2
"40474","1998","LR/nt","Lower Risk/near threatened","Cola lizae","MAGNOLIOPSIDA","global",1,"LC",0
"40475","1998","LR/nt","Lower Risk/near threatened","Dialium lopense","MAGNOLIOPSIDA","global",1,"LC",0
"40476","1998","LR/nt","Lower Risk/near threatened","Conceveiba macrostachys","MAGNOLIOPSIDA","global",1,"LC",0
"40477","1998","EN","Endangered","Mangifera nicobarica","MAGNOLIOPSIDA","global",1,"EN",3
"40478","1998","EW","Extinct in the Wild","Mangifera rubropetala","MAGNOLIOPSIDA","global",1,"EX",5
