"","year","code","category","Species","Class","Region","count","code_mod","risk"
"1","2012","CR","Critically Endangered","Aaadonta angaurana","GASTROPODA","global",3,"CR",4
"2","1996","DD","Data Deficient","Aaadonta angaurana","GASTROPODA","global",3,"NA",0
"3","1994","V","Vulnerable","Aaadonta angaurana","GASTROPODA","global",3,"VU",2
"4","2012","EN","Endangered","Aaadonta constricta","GASTROPODA","global",3,"EN",3
"5","1996","DD","Data Deficient","Aaadonta constricta","GASTROPODA","global",3,"NA",0
"6","1994","V","Vulnerable","Aaadonta constricta","GASTROPODA","global",3,"VU",2
"7","2012","EN","Endangered","Aaadonta fuscozonata","GASTROPODA","global",3,"EN",3
"8","1996","DD","Data Deficient","Aaadonta fuscozonata","GASTROPODA","global",3,"NA",0
"9","1994","V","Vulnerable","Aaadonta fuscozonata","GASTROPODA","global",3,"VU",2
"10","2012","CR","Critically Endangered","Aaadonta irregularis","GASTROPODA","global",3,"CR",4
"11","1996","DD","Data Deficient","Aaadonta irregularis","GASTROPODA","global",3,"NA",0
"12","1994","V","Vulnerable","Aaadonta irregularis","GASTROPODA","global",3,"VU",2
"13","2012","CR","Critically Endangered","Aaadonta kinlochi","GASTROPODA","global",3,"CR",4
"14","1996","DD","Data Deficient","Aaadonta kinlochi","GASTROPODA","global",3,"NA",0
"15","1994","V","Vulnerable","Aaadonta kinlochi","GASTROPODA","global",3,"VU",2
"16","2012","CR","Critically Endangered","Aaadonta pelewana","GASTROPODA","global",3,"CR",4
"17","1996","DD","Data Deficient","Aaadonta pelewana","GASTROPODA","global",3,"NA",0
"18","1994","V","Vulnerable","Aaadonta pelewana","GASTROPODA","global",3,"VU",2
"19","2011","CR","Critically Endangered","Aaptosyax grypus","ACTINOPTERYGII","global",2,"CR",4
"20","1996","DD","Data Deficient","Aaptosyax grypus","ACTINOPTERYGII","global",2,"NA",0
"21","2016","CR","Critically Endangered","Abrocoma boliviensis","MAMMALIA","global",3,"CR",4
"22","2008","CR","Critically Endangered","Abrocoma boliviensis","MAMMALIA","global",3,"CR",4
"23","1996","VU","Vulnerable","Abrocoma boliviensis","MAMMALIA","global",3,"VU",2
"24","2013","EN","Endangered","Abronia montecristoi","REPTILIA","global",3,"EN",3
"25","1996","CR","Critically Endangered","Abronia montecristoi","REPTILIA","global",3,"CR",4
"26","1994","E","Endangered","Abronia montecristoi","REPTILIA","global",3,"EN",3
"27","2017","EN","Endangered","Acanthaeschna victoria","INSECTA","global",5,"EN",3
"28","1996","VU","Vulnerable","Acanthaeschna victoria","INSECTA","global",5,"VU",2
"29","1994","K","Insufficiently Known","Acanthaeschna victoria","INSECTA","global",5,"NA",0
"30","1990","K","Insufficiently Known","Acanthaeschna victoria","INSECTA","global",5,"NA",0
"31","1988","V","Vulnerable","Acanthaeschna victoria","INSECTA","global",5,"VU",2
"32","2011","DD","Data Deficient","Acanthinula spinifera","GASTROPODA","global",3,"NA",0
"33","1996","DD","Data Deficient","Acanthinula spinifera","GASTROPODA","global",3,"NA",0
"34","1994","R","Rare","Acanthinula spinifera","GASTROPODA","global",3,"NT",1
"35","2014","EX","Extinct","Mirogrex hulensis","ACTINOPTERYGII","global",4,"EX",5
"36","2006","EX","Extinct","Mirogrex hulensis","ACTINOPTERYGII","global",4,"EX",5
"37","1996","EX","Extinct","Mirogrex hulensis","ACTINOPTERYGII","global",4,"EX",5
"38","1994","Ex?","Extinct?","Mirogrex hulensis","ACTINOPTERYGII","global",4,"EX",5
"39","2016","EN","Endangered","Acanthochelys pallidipectoris","REPTILIA","global",7,"EN",3
"40","1996","VU","Vulnerable","Acanthochelys pallidipectoris","REPTILIA","global",7,"VU",2
"41","1994","R","Rare","Acanthochelys pallidipectoris","REPTILIA","global",7,"NT",1
"42","1990","R","Rare","Acanthochelys pallidipectoris","REPTILIA","global",7,"NT",1
"43","1988","R","Rare","Acanthochelys pallidipectoris","REPTILIA","global",7,"NT",1
"44","1986","R","Rare","Acanthochelys pallidipectoris","REPTILIA","global",7,"NT",1
"45","1982","R","Rare","Acanthochelys pallidipectoris","REPTILIA","global",7,"NT",1
"46","1996","LR/nt","Lower Risk/near threatened","Acanthochelys spixii","REPTILIA","global",6,"LC",0
"47","1994","K","Insufficiently Known","Acanthochelys spixii","REPTILIA","global",6,"NA",0
"48","1990","K","Insufficiently Known","Acanthochelys spixii","REPTILIA","global",6,"NA",0
"49","1988","K","Insufficiently Known","Acanthochelys spixii","REPTILIA","global",6,"NA",0
"50","1986","K","Insufficiently Known","Acanthochelys spixii","REPTILIA","global",6,"NA",0
"51","1982","K","Insufficiently Known","Acanthochelys spixii","REPTILIA","global",6,"NA",0
"52","1996","LR/nt","Lower Risk/near threatened","Acanthochelys radiolata","REPTILIA","global",1,"LC",0
"53","1996","LR/cd","Lower Risk/conservation dependent","Acanthocobitis urophthalmus","ACTINOPTERYGII","global",2,"LC",0
"54","1994","V","Vulnerable","Acanthocobitis urophthalmus","ACTINOPTERYGII","global",2,"VU",2
"55","1996","VU","Vulnerable","Acanthocyclops hypogeus","MAXILLOPODA","global",1,"VU",2
"56","2006","VU","Vulnerable","Salmo ohridanus","ACTINOPTERYGII","global",2,"VU",2
"57","1996","VU","Vulnerable","Salmo ohridanus","ACTINOPTERYGII","global",2,"VU",2
"58","1996","EX","Extinct","Acanthametropus pecatonica","INSECTA","global",5,"EX",5
"59","1994","Ex","Extinct","Acanthametropus pecatonica","INSECTA","global",5,"EX",5
"60","1990","Ex","Extinct","Acanthametropus pecatonica","INSECTA","global",5,"EX",5
"61","1988","Ex","Extinct","Acanthametropus pecatonica","INSECTA","global",5,"EX",5
"62","1986","Ex","Extinct","Acanthametropus pecatonica","INSECTA","global",5,"EX",5
"63","1996","VU","Vulnerable","Acanthomyops latipes","INSECTA","global",1,"VU",2
"64","2016","VU","Vulnerable","Acerodon celebensis","MAMMALIA","global",3,"VU",2
"65","2008","LC","Least Concern","Acerodon celebensis","MAMMALIA","global",3,"LC",0
"66","1996","LR/nt","Lower Risk/near threatened","Acerodon celebensis","MAMMALIA","global",3,"LC",0
"67","2016","EN","Endangered","Acerodon humilis","MAMMALIA","global",3,"EN",3
"68","2008","EN","Endangered","Acerodon humilis","MAMMALIA","global",3,"EN",3
"69","1996","VU","Vulnerable","Acerodon humilis","MAMMALIA","global",3,"VU",2
"70","2016","EN","Endangered","Acerodon jubatus","MAMMALIA","global",4,"EN",3
"71","2008","EN","Endangered","Acerodon jubatus","MAMMALIA","global",4,"EN",3
"72","1996","EN","Endangered","Acerodon jubatus","MAMMALIA","global",4,"EN",3
"73","1994","E","Endangered","Acerodon jubatus","MAMMALIA","global",4,"EN",3
"74","2008","VU","Vulnerable","Acerodon leucotis","MAMMALIA","global",2,"VU",2
"75","1996","VU","Vulnerable","Acerodon leucotis","MAMMALIA","global",2,"VU",2
"76","2016","VU","Vulnerable","Acerodon mackloti","MAMMALIA","global",3,"VU",2
"77","2008","VU","Vulnerable","Acerodon mackloti","MAMMALIA","global",3,"VU",2
"78","1996","LR/lc","Lower Risk/least concern","Acerodon mackloti","MAMMALIA","global",3,"LC",0
"79","2017","NT","Near Threatened","Achalinus werneri","REPTILIA","global",3,"NT",1
"80","1996","VU","Vulnerable","Achalinus werneri","REPTILIA","global",3,"VU",2
"81","1994","R","Rare","Achalinus werneri","REPTILIA","global",3,"NT",1
"82","1996","DD","Data Deficient","Achatina vignoniana","GASTROPODA","global",1,"NA",0
"83","1996","EX","Extinct","Achatinella abbreviata","GASTROPODA","global",4,"EX",5
"84","1994","Ex?","Extinct?","Achatinella abbreviata","GASTROPODA","global",4,"EX",5
"85","1990","Ex","Extinct","Achatinella abbreviata","GASTROPODA","global",4,"EX",5
"86","1983","E","Endangered","Achatinella abbreviata","GASTROPODA","global",4,"EN",3
"87","1996","CR","Critically Endangered","Achatinella apexfulva","GASTROPODA","global",4,"CR",4
"88","1994","E","Endangered","Achatinella apexfulva","GASTROPODA","global",4,"EN",3
"89","1990","E","Endangered","Achatinella apexfulva","GASTROPODA","global",4,"EN",3
"90","1983","E","Endangered","Achatinella apexfulva","GASTROPODA","global",4,"EN",3
"91","1996","CR","Critically Endangered","Achatinella bellula","GASTROPODA","global",4,"CR",4
"92","1994","E","Endangered","Achatinella bellula","GASTROPODA","global",4,"EN",3
"93","1990","E","Endangered","Achatinella bellula","GASTROPODA","global",4,"EN",3
"94","1983","E","Endangered","Achatinella bellula","GASTROPODA","global",4,"EN",3
"95","1996","EX","Extinct","Achatinella buddii","GASTROPODA","global",4,"EX",5
"96","1994","Ex","Extinct","Achatinella buddii","GASTROPODA","global",4,"EX",5
"97","1990","Ex","Extinct","Achatinella buddii","GASTROPODA","global",4,"EX",5
"98","1983","E","Endangered","Achatinella buddii","GASTROPODA","global",4,"EN",3
"99","1996","CR","Critically Endangered","Achatinella bulimoides","GASTROPODA","global",4,"CR",4
"100","1994","E","Endangered","Achatinella bulimoides","GASTROPODA","global",4,"EN",3
"101","1990","E","Endangered","Achatinella bulimoides","GASTROPODA","global",4,"EN",3
"102","1983","E","Endangered","Achatinella bulimoides","GASTROPODA","global",4,"EN",3
"103","1996","CR","Critically Endangered","Achatinella byronii","GASTROPODA","global",4,"CR",4
"104","1994","E","Endangered","Achatinella byronii","GASTROPODA","global",4,"EN",3
"105","1990","E","Endangered","Achatinella byronii","GASTROPODA","global",4,"EN",3
"106","1983","E","Endangered","Achatinella byronii","GASTROPODA","global",4,"EN",3
"107","1996","EX","Extinct","Achatinella caesia","GASTROPODA","global",4,"EX",5
"108","1994","Ex","Extinct","Achatinella caesia","GASTROPODA","global",4,"EX",5
"109","1990","Ex","Extinct","Achatinella caesia","GASTROPODA","global",4,"EX",5
"110","1983","E","Endangered","Achatinella caesia","GASTROPODA","global",4,"EN",3
"111","1996","EX","Extinct","Achatinella casta","GASTROPODA","global",4,"EX",5
"112","1994","Ex","Extinct","Achatinella casta","GASTROPODA","global",4,"EX",5
"113","1990","Ex","Extinct","Achatinella casta","GASTROPODA","global",4,"EX",5
"114","1983","E","Endangered","Achatinella casta","GASTROPODA","global",4,"EN",3
"115","1996","CR","Critically Endangered","Achatinella cestus","GASTROPODA","global",4,"CR",4
"116","1994","E","Endangered","Achatinella cestus","GASTROPODA","global",4,"EN",3
"117","1990","Ex","Extinct","Achatinella cestus","GASTROPODA","global",4,"EX",5
"118","1983","E","Endangered","Achatinella cestus","GASTROPODA","global",4,"EN",3
"119","1996","CR","Critically Endangered","Achatinella concavospira","GASTROPODA","global",4,"CR",4
"120","1994","E","Endangered","Achatinella concavospira","GASTROPODA","global",4,"EN",3
"121","1990","E","Endangered","Achatinella concavospira","GASTROPODA","global",4,"EN",3
"122","1983","E","Endangered","Achatinella concavospira","GASTROPODA","global",4,"EN",3
"123","1996","CR","Critically Endangered","Achatinella curta","GASTROPODA","global",4,"CR",4
"124","1994","E","Endangered","Achatinella curta","GASTROPODA","global",4,"EN",3
"125","1990","E","Endangered","Achatinella curta","GASTROPODA","global",4,"EN",3
"126","1983","E","Endangered","Achatinella curta","GASTROPODA","global",4,"EN",3
"127","1996","CR","Critically Endangered","Achatinella decipiens","GASTROPODA","global",4,"CR",4
"128","1994","E","Endangered","Achatinella decipiens","GASTROPODA","global",4,"EN",3
"129","1990","E","Endangered","Achatinella decipiens","GASTROPODA","global",4,"EN",3
"130","1983","E","Endangered","Achatinella decipiens","GASTROPODA","global",4,"EN",3
"131","1996","EX","Extinct","Achatinella decora","GASTROPODA","global",4,"EX",5
"132","1994","Ex","Extinct","Achatinella decora","GASTROPODA","global",4,"EX",5
"133","1990","Ex","Extinct","Achatinella decora","GASTROPODA","global",4,"EX",5
"134","1983","E","Endangered","Achatinella decora","GASTROPODA","global",4,"EN",3
"135","1996","EX","Extinct","Achatinella dimorpha","GASTROPODA","global",4,"EX",5
"136","1994","Ex?","Extinct?","Achatinella dimorpha","GASTROPODA","global",4,"EX",5
"137","1990","Ex","Extinct","Achatinella dimorpha","GASTROPODA","global",4,"EX",5
"138","1983","E","Endangered","Achatinella dimorpha","GASTROPODA","global",4,"EN",3
"139","1996","EX","Extinct","Achatinella elegans","GASTROPODA","global",4,"EX",5
"140","1994","Ex?","Extinct?","Achatinella elegans","GASTROPODA","global",4,"EX",5
"141","1990","Ex","Extinct","Achatinella elegans","GASTROPODA","global",4,"EX",5
"142","1983","E","Endangered","Achatinella elegans","GASTROPODA","global",4,"EN",3
"143","1996","CR","Critically Endangered","Achatinella fulgens","GASTROPODA","global",4,"CR",4
"144","1994","E","Endangered","Achatinella fulgens","GASTROPODA","global",4,"EN",3
"145","1990","E","Endangered","Achatinella fulgens","GASTROPODA","global",4,"EN",3
"146","1983","E","Endangered","Achatinella fulgens","GASTROPODA","global",4,"EN",3
"147","1996","CR","Critically Endangered","Achatinella fuscobasis","GASTROPODA","global",4,"CR",4
"148","1994","E","Endangered","Achatinella fuscobasis","GASTROPODA","global",4,"EN",3
"149","1990","E","Endangered","Achatinella fuscobasis","GASTROPODA","global",4,"EN",3
"150","1983","E","Endangered","Achatinella fuscobasis","GASTROPODA","global",4,"EN",3
"151","1996","EX","Extinct","Achatinella juddii","GASTROPODA","global",4,"EX",5
"152","1994","Ex?","Extinct?","Achatinella juddii","GASTROPODA","global",4,"EX",5
"153","1990","Ex","Extinct","Achatinella juddii","GASTROPODA","global",4,"EX",5
"154","1983","E","Endangered","Achatinella juddii","GASTROPODA","global",4,"EN",3
"155","1996","EX","Extinct","Achatinella juncea","GASTROPODA","global",4,"EX",5
"156","1994","Ex?","Extinct?","Achatinella juncea","GASTROPODA","global",4,"EX",5
"157","1990","Ex","Extinct","Achatinella juncea","GASTROPODA","global",4,"EX",5
"158","1983","E","Endangered","Achatinella juncea","GASTROPODA","global",4,"EN",3
"159","1996","EX","Extinct","Achatinella lehuiensis","GASTROPODA","global",4,"EX",5
"160","1994","Ex","Extinct","Achatinella lehuiensis","GASTROPODA","global",4,"EX",5
"161","1990","Ex","Extinct","Achatinella lehuiensis","GASTROPODA","global",4,"EX",5
"162","1983","E","Endangered","Achatinella lehuiensis","GASTROPODA","global",4,"EN",3
"163","1996","CR","Critically Endangered","Achatinella lila","GASTROPODA","global",4,"CR",4
"164","1994","E","Endangered","Achatinella lila","GASTROPODA","global",4,"EN",3
"165","1990","E","Endangered","Achatinella lila","GASTROPODA","global",4,"EN",3
"166","1983","E","Endangered","Achatinella lila","GASTROPODA","global",4,"EN",3
"167","1996","EX","Extinct","Achatinella livida","GASTROPODA","global",4,"EX",5
"168","1994","Ex","Extinct","Achatinella livida","GASTROPODA","global",4,"EX",5
"169","1990","Ex","Extinct","Achatinella livida","GASTROPODA","global",4,"EX",5
"170","1983","E","Endangered","Achatinella livida","GASTROPODA","global",4,"EN",3
"171","1996","CR","Critically Endangered","Achatinella lorata","GASTROPODA","global",4,"CR",4
"172","1994","E","Endangered","Achatinella lorata","GASTROPODA","global",4,"EN",3
"173","1990","E","Endangered","Achatinella lorata","GASTROPODA","global",4,"EN",3
"174","1983","E","Endangered","Achatinella lorata","GASTROPODA","global",4,"EN",3
"175","1996","CR","Critically Endangered","Achatinella mustelina","GASTROPODA","global",4,"CR",4
"176","1994","E","Endangered","Achatinella mustelina","GASTROPODA","global",4,"EN",3
"177","1990","E","Endangered","Achatinella mustelina","GASTROPODA","global",4,"EN",3
"178","1983","E","Endangered","Achatinella mustelina","GASTROPODA","global",4,"EN",3
"179","1996","EX","Extinct","Achatinella papyracea","GASTROPODA","global",4,"EX",5
"180","1994","Ex","Extinct","Achatinella papyracea","GASTROPODA","global",4,"EX",5
"181","1990","Ex","Extinct","Achatinella papyracea","GASTROPODA","global",4,"EX",5
"182","1983","E","Endangered","Achatinella papyracea","GASTROPODA","global",4,"EN",3
"183","1996","CR","Critically Endangered","Achatinella phaeozona","GASTROPODA","global",4,"CR",4
"184","1994","E","Endangered","Achatinella phaeozona","GASTROPODA","global",4,"EN",3
"185","1990","Ex","Extinct","Achatinella phaeozona","GASTROPODA","global",4,"EX",5
"186","1983","E","Endangered","Achatinella phaeozona","GASTROPODA","global",4,"EN",3
"187","1996","CR","Critically Endangered","Achatinella pulcherrima","GASTROPODA","global",4,"CR",4
"188","1994","E","Endangered","Achatinella pulcherrima","GASTROPODA","global",4,"EN",3
"189","1990","E","Endangered","Achatinella pulcherrima","GASTROPODA","global",4,"EN",3
"190","1983","E","Endangered","Achatinella pulcherrima","GASTROPODA","global",4,"EN",3
"191","1996","CR","Critically Endangered","Achatinella pupukanioe","GASTROPODA","global",4,"CR",4
"192","1994","E","Endangered","Achatinella pupukanioe","GASTROPODA","global",4,"EN",3
"193","1990","E","Endangered","Achatinella pupukanioe","GASTROPODA","global",4,"EN",3
"194","1983","E","Endangered","Achatinella pupukanioe","GASTROPODA","global",4,"EN",3
"195","1996","CR","Critically Endangered","Achatinella sowerbyana","GASTROPODA","global",4,"CR",4
"196","1994","E","Endangered","Achatinella sowerbyana","GASTROPODA","global",4,"EN",3
"197","1990","E","Endangered","Achatinella sowerbyana","GASTROPODA","global",4,"EN",3
"198","1983","E","Endangered","Achatinella sowerbyana","GASTROPODA","global",4,"EN",3
"199","1996","EX","Extinct","Achatinella spaldingi","GASTROPODA","global",4,"EX",5
"200","1994","Ex","Extinct","Achatinella spaldingi","GASTROPODA","global",4,"EX",5
"201","1990","Ex","Extinct","Achatinella spaldingi","GASTROPODA","global",4,"EX",5
"202","1983","E","Endangered","Achatinella spaldingi","GASTROPODA","global",4,"EN",3
"203","1996","CR","Critically Endangered","Achatinella stewartii","GASTROPODA","global",4,"CR",4
"204","1994","E","Endangered","Achatinella stewartii","GASTROPODA","global",4,"EN",3
"205","1990","Ex","Extinct","Achatinella stewartii","GASTROPODA","global",4,"EX",5
"206","1983","E","Endangered","Achatinella stewartii","GASTROPODA","global",4,"EN",3
"207","1996","CR","Critically Endangered","Achatinella swiftii","GASTROPODA","global",4,"CR",4
"208","1994","E","Endangered","Achatinella swiftii","GASTROPODA","global",4,"EN",3
"209","1990","E","Endangered","Achatinella swiftii","GASTROPODA","global",4,"EN",3
"210","1983","E","Endangered","Achatinella swiftii","GASTROPODA","global",4,"EN",3
"211","1996","CR","Critically Endangered","Achatinella taeniolata","GASTROPODA","global",4,"CR",4
"212","1994","E","Endangered","Achatinella taeniolata","GASTROPODA","global",4,"EN",3
"213","1990","E","Endangered","Achatinella taeniolata","GASTROPODA","global",4,"EN",3
"214","1983","E","Endangered","Achatinella taeniolata","GASTROPODA","global",4,"EN",3
"215","1996","EX","Extinct","Achatinella thaanumi","GASTROPODA","global",4,"EX",5
"216","1994","Ex","Extinct","Achatinella thaanumi","GASTROPODA","global",4,"EX",5
"217","1990","Ex","Extinct","Achatinella thaanumi","GASTROPODA","global",4,"EX",5
"218","1983","E","Endangered","Achatinella thaanumi","GASTROPODA","global",4,"EN",3
"219","1996","CR","Critically Endangered","Achatinella turgida","GASTROPODA","global",4,"CR",4
"220","1994","E","Endangered","Achatinella turgida","GASTROPODA","global",4,"EN",3
"221","1990","E","Endangered","Achatinella turgida","GASTROPODA","global",4,"EN",3
"222","1983","E","Endangered","Achatinella turgida","GASTROPODA","global",4,"EN",3
"223","1996","EX","Extinct","Achatinella valida","GASTROPODA","global",4,"EX",5
"224","1994","Ex","Extinct","Achatinella valida","GASTROPODA","global",4,"EX",5
"225","1990","Ex","Extinct","Achatinella valida","GASTROPODA","global",4,"EX",5
"226","1983","E","Endangered","Achatinella valida","GASTROPODA","global",4,"EN",3
"227","1996","CR","Critically Endangered","Achatinella viridans","GASTROPODA","global",4,"CR",4
"228","1994","E","Endangered","Achatinella viridans","GASTROPODA","global",4,"EN",3
"229","1990","Ex","Extinct","Achatinella viridans","GASTROPODA","global",4,"EX",5
"230","1983","E","Endangered","Achatinella viridans","GASTROPODA","global",4,"EN",3
"231","1996","CR","Critically Endangered","Achatinella vulpina","GASTROPODA","global",4,"CR",4
"232","1994","E","Endangered","Achatinella vulpina","GASTROPODA","global",4,"EN",3
"233","1990","Ex","Extinct","Achatinella vulpina","GASTROPODA","global",4,"EX",5
"234","1983","E","Endangered","Achatinella vulpina","GASTROPODA","global",4,"EN",3
"235","1996","CR","Critically Endangered","Achatinella leucorrhaphe","GASTROPODA","global",3,"CR",4
"236","1994","E","Endangered","Achatinella leucorrhaphe","GASTROPODA","global",3,"EN",3
"237","1983","E","Endangered","Achatinella leucorrhaphe","GASTROPODA","global",3,"EN",3
"238","2008","CR","Critically Endangered","Acheilognathus elongatus","ACTINOPTERYGII","global",3,"CR",4
"239","1996","EN","Endangered","Acheilognathus elongatus","ACTINOPTERYGII","global",3,"EN",3
"240","1994","I","Indeterminate","Acheilognathus elongatus","ACTINOPTERYGII","global",3,"NA",0
"241","1996","VU","Vulnerable","Acheilognathus longipinnis","ACTINOPTERYGII","global",2,"VU",2
"242","1994","E","Endangered","Acheilognathus longipinnis","ACTINOPTERYGII","global",2,"EN",3
"243","2018","DD","Data Deficient","Aciagrion rarum","INSECTA","global",8,"NA",0
"244","2010","DD","Data Deficient","Aciagrion rarum","INSECTA","global",8,"NA",0
"245","2006","DD","Data Deficient","Aciagrion rarum","INSECTA","global",8,"NA",0
"246","1996","DD","Data Deficient","Aciagrion rarum","INSECTA","global",8,"NA",0
"247","1994","I","Indeterminate","Aciagrion rarum","INSECTA","global",8,"NA",0
"248","1990","I","Indeterminate","Aciagrion rarum","INSECTA","global",8,"NA",0
"249","1988","I","Indeterminate","Aciagrion rarum","INSECTA","global",8,"NA",0
"250","1986","I","Indeterminate","Aciagrion rarum","INSECTA","global",8,"NA",0
"251","2017","VU","Vulnerable","Acicula norrisi","GASTROPODA","global",4,"VU",2
"252","2011","VU","Vulnerable","Acicula norrisi","GASTROPODA","global",4,"VU",2
"253","1996","VU","Vulnerable","Acicula norrisi","GASTROPODA","global",4,"VU",2
"254","1994","R","Rare","Acicula norrisi","GASTROPODA","global",4,"NT",1
"255","1996","VU","Vulnerable","Acicula palaestinensis","GASTROPODA","global",1,"VU",2
"256","2011","NT","Near Threatened","Acicula hausdorfi","GASTROPODA","global",2,"NT",1
"257","1996","DD","Data Deficient","Acicula hausdorfi","GASTROPODA","global",2,"NA",0
"258","1996","VU","Vulnerable","Acilius duvergeri","INSECTA","global",2,"VU",2
"259","1994","I","Indeterminate","Acilius duvergeri","INSECTA","global",2,"NA",0
"260","2010","EN","Endangered","Acinonyx jubatus","MAMMALIA","mediterranean",9,"EN",3
"261","2015","VU","Vulnerable","Acinonyx jubatus","MAMMALIA","global",9,"VU",2
"262","2008","VU","Vulnerable","Acinonyx jubatus","MAMMALIA","global",9,"VU",2
"263","2002","VU","Vulnerable","Acinonyx jubatus","MAMMALIA","global",9,"VU",2
"264","1996","VU","Vulnerable","Acinonyx jubatus","MAMMALIA","global",9,"VU",2
"265","1994","V","Vulnerable","Acinonyx jubatus","MAMMALIA","global",9,"VU",2
"266","1990","V","Vulnerable","Acinonyx jubatus","MAMMALIA","global",9,"VU",2
"267","1988","V","Vulnerable","Acinonyx jubatus","MAMMALIA","global",9,"VU",2
"268","1986","V","Vulnerable","Acinonyx jubatus","MAMMALIA","global",9,"VU",2
"269","2004","VU","Vulnerable","Acipenser brevirostrum","ACTINOPTERYGII","global",6,"VU",2
"270","1996","VU","Vulnerable","Acipenser brevirostrum","ACTINOPTERYGII","global",6,"VU",2
"271","1994","V","Vulnerable","Acipenser brevirostrum","ACTINOPTERYGII","global",6,"VU",2
"272","1990","V","Vulnerable","Acipenser brevirostrum","ACTINOPTERYGII","global",6,"VU",2
"273","1988","V","Vulnerable","Acipenser brevirostrum","ACTINOPTERYGII","global",6,"VU",2
"274","1986","V","Vulnerable","Acipenser brevirostrum","ACTINOPTERYGII","global",6,"VU",2
"275","2004","LC","Least Concern","Acipenser fulvescens","ACTINOPTERYGII","global",6,"LC",0
"276","1996","VU","Vulnerable","Acipenser fulvescens","ACTINOPTERYGII","global",6,"VU",2
"277","1994","V","Vulnerable","Acipenser fulvescens","ACTINOPTERYGII","global",6,"VU",2
"278","1990","V","Vulnerable","Acipenser fulvescens","ACTINOPTERYGII","global",6,"VU",2
"279","1988","V","Vulnerable","Acipenser fulvescens","ACTINOPTERYGII","global",6,"VU",2
"280","1986","V","Vulnerable","Acipenser fulvescens","ACTINOPTERYGII","global",6,"VU",2
"281","2011","CR","Critically Endangered","Acipenser naccarii","ACTINOPTERYGII","global",3,"CR",4
"282","2010","CR","Critically Endangered","Acipenser naccarii","ACTINOPTERYGII","global",3,"CR",4
"283","1996","VU","Vulnerable","Acipenser naccarii","ACTINOPTERYGII","global",3,"VU",2
"284","2010","CR","Critically Endangered","Acipenser nudiventris","ACTINOPTERYGII","europe",6,"CR",4
"285","2010","CR","Critically Endangered","Acipenser nudiventris","ACTINOPTERYGII","global",6,"CR",4
"286","1996","EN","Endangered","Acipenser nudiventris","ACTINOPTERYGII","global",6,"EN",3
"287","2010","VU","Vulnerable","Acipenser ruthenus","ACTINOPTERYGII","europe",3,"VU",2
"288","2010","VU","Vulnerable","Acipenser ruthenus","ACTINOPTERYGII","global",3,"VU",2
"289","1996","VU","Vulnerable","Acipenser ruthenus","ACTINOPTERYGII","global",3,"VU",2
"290","2010","CR","Critically Endangered","Acipenser schrenckii","ACTINOPTERYGII","global",6,"CR",4
"291","1996","EN","Endangered","Acipenser schrenckii","ACTINOPTERYGII","global",6,"EN",3
"292","1994","V","Vulnerable","Acipenser schrenckii","ACTINOPTERYGII","global",6,"VU",2
"293","1990","V","Vulnerable","Acipenser schrenckii","ACTINOPTERYGII","global",6,"VU",2
"294","1988","V","Vulnerable","Acipenser schrenckii","ACTINOPTERYGII","global",6,"VU",2
"295","1986","V","Vulnerable","Acipenser schrenckii","ACTINOPTERYGII","global",6,"VU",2
"296","2010","CR","Critically Endangered","Acipenser stellatus","ACTINOPTERYGII","europe",3,"CR",4
"297","2010","CR","Critically Endangered","Acipenser stellatus","ACTINOPTERYGII","global",3,"CR",4
"298","1996","EN","Endangered","Acipenser stellatus","ACTINOPTERYGII","global",3,"EN",3
"299","2010","CR","Critically Endangered","Acipenser sturio","ACTINOPTERYGII","global",5,"CR",4
"300","1996","CR","Critically Endangered","Acipenser sturio","ACTINOPTERYGII","global",5,"CR",4
"301","1994","E","Endangered","Acipenser sturio","ACTINOPTERYGII","global",5,"EN",3
"302","1990","E","Endangered","Acipenser sturio","ACTINOPTERYGII","global",5,"EN",3
"303","1988","E","Endangered","Acipenser sturio","ACTINOPTERYGII","global",5,"EN",3
"304","2010","CR","Critically Endangered","Acipenser dabryanus","ACTINOPTERYGII","global",2,"CR",4
"305","1996","CR","Critically Endangered","Acipenser dabryanus","ACTINOPTERYGII","global",2,"CR",4
"306","2010","CR","Critically Endangered","Acipenser gueldenstaedtii","ACTINOPTERYGII","europe",3,"CR",4
"307","2010","CR","Critically Endangered","Acipenser gueldenstaedtii","ACTINOPTERYGII","global",3,"CR",4
"308","1996","EN","Endangered","Acipenser gueldenstaedtii","ACTINOPTERYGII","global",3,"EN",3
"309","2006","NT","Near Threatened","Acipenser medirostris","ACTINOPTERYGII","global",2,"NT",1
"310","1996","VU","Vulnerable","Acipenser medirostris","ACTINOPTERYGII","global",2,"VU",2
"311","2004","LC","Least Concern","Acipenser transmontanus","ACTINOPTERYGII","global",4,"LC",0
"312","1996","LR/nt","Lower Risk/near threatened","Acipenser transmontanus","ACTINOPTERYGII","global",4,"LC",0
"313","2010","CR","Critically Endangered","Acipenser persicus","ACTINOPTERYGII","europe",3,"CR",4
"314","2010","CR","Critically Endangered","Acipenser persicus","ACTINOPTERYGII","global",3,"CR",4
"315","1996","EN","Endangered","Acipenser persicus","ACTINOPTERYGII","global",3,"EN",3
"316","2010","CR","Critically Endangered","Acipenser sinensis","ACTINOPTERYGII","global",2,"CR",4
